direction,year,month,day,class,class_count
QB,24,7,10,1,5
QB,24,5,6,1,89
QB,25,3,22,5,1191
QB,24,1,1,7,8
QB,24,7,9,3,5566
QB,24,8,16,2,32444
QB,24,3,26,5,3297
QB,24,7,22,2,33255
QB,24,5,21,3,5776
QB,24,4,29,5,3106
QB,24,2,6,8,289
QB,24,6,21,4,248
QB,24,6,21,8,246
QB,24,1,19,1,40
QB,24,2,10,9,616
QB,24,2,21,8,255
QB,24,8,15,8,317
QB,24,2,29,1,67
QB,24,1,28,14,13
QB,24,7,2,7,34
QB,24,8,1,3,5703
QB,24,4,7,5,1103
QB,24,4,10,9,1423
QB,24,8,29,4,319
QB,24,7,2,6,681
QB,24,2,21,6,700
QB,24,7,7,4,186
QB,24,5,1,4,263
QB,24,4,24,12,51
QB,25,3,19,2,11815
QB,24,8,3,12,26
QB,24,4,6,11,20
QB,24,4,28,12,27
QB,24,8,7,10,22
QB,24,4,24,2,29648
QB,24,7,6,2,37364
QB,24,8,7,2,30687
QB,24,7,21,4,187
QB,24,6,20,14,112
QB,24,1,4,9,1566
QB,24,5,2,14,52
QB,24,7,31,14,231
QB,24,1,12,7,61
QB,24,2,28,7,58
QB,24,3,19,1,55
QB,24,3,6,12,44
QB,24,4,13,6,4
QB,24,5,22,10,17
QB,24,8,27,2,31028
QB,24,5,22,2,27515
QB,24,7,13,3,4090
QB,24,2,27,3,6661
QB,24,1,31,3,6503
QB,24,1,19,4,266
QB,24,6,23,5,1173
QB,24,6,14,6,663
QB,24,4,27,8,139
QB,24,4,25,7,42
QB,24,2,25,1,30
QB,24,7,23,12,49
QB,24,6,30,14,13
QB,24,3,22,9,1448
QB,24,5,8,5,1198
QB,24,1,27,7,25
QB,24,2,7,7,63
QB,24,8,6,10,13
QB,24,6,28,14,26
QB,24,6,19,11,37
QB,24,2,20,3,6167
QB,24,5,11,3,3987
QB,24,3,23,2,29870
QB,24,3,14,9,1451
QB,24,6,13,5,3454
QB,24,6,22,3,4328
QB,24,8,6,5,3812
QB,24,5,24,9,1634
QB,24,3,25,5,3110
QB,24,5,6,8,172
QB,24,5,26,1,81
QB,24,1,1,8,35
QB,24,2,19,6,502
QB,24,3,29,4,239
QB,25,3,7,2,12483
QB,24,2,27,8,250
QB,24,6,26,7,52
QB,24,8,23,7,40
QB,24,1,5,12,37
QB,24,4,28,14,15
QB,24,6,17,7,35
QB,24,8,6,7,45
QB,24,5,30,11,30
QB,24,5,2,7,49
QB,24,2,11,10,2
QB,24,6,17,14,48
QB,24,8,2,2,32192
QB,24,1,5,9,1482
QB,24,6,8,3,4418
QB,24,8,28,5,4020
QB,24,4,12,5,3108
QB,24,1,28,3,3583
QB,24,5,30,5,3548
QB,24,6,28,8,258
QB,24,3,15,14,134
QB,24,2,12,4,197
QB,24,6,9,9,446
QB,24,8,20,6,618
QB,24,5,31,4,332
QB,24,6,11,7,31
QB,24,8,29,10,15
QB,24,7,24,7,44
QB,24,7,24,12,74
QB,24,4,27,11,16
QB,24,2,11,14,2
QB,25,3,4,6,349
QB,25,2,8,2,13438
QB,24,1,8,5,3197
QB,24,5,18,4,187
QB,24,8,9,5,3341
QB,24,7,31,6,665
QB,24,1,8,8,218
QB,24,6,28,11,48
QB,24,7,21,8,77
QB,24,8,16,8,289
QB,24,8,26,4,308
QB,24,5,2,8,239
QB,24,3,17,12,19
QB,24,8,8,7,40
QB,24,7,15,10,24
QB,24,2,4,4,184
QB,25,2,22,5,1153
QB,25,3,9,2,15827
QB,24,2,3,1,35
QB,24,4,6,2,31807
QB,24,8,19,9,1463
QB,24,2,27,9,1501
QB,24,2,26,5,3360
QB,24,6,8,6,232
QB,24,8,11,9,440
QB,24,5,6,6,611
QB,24,3,31,9,377
QB,24,6,20,1,159
QB,24,3,29,14,23
QB,24,3,1,10,16
QB,24,7,25,7,57
QB,24,1,20,7,30
QB,24,8,12,14,87
QB,24,7,7,12,27
QB,24,8,4,12,27
QB,24,3,29,7,36
QB,24,2,22,10,20
QB,24,6,9,2,39289
QB,24,5,7,3,6086
QB,24,1,21,5,937
QB,24,8,15,5,3949
QB,24,8,28,6,680
QB,24,3,12,9,1396
QB,24,2,8,11,42
QB,24,8,18,8,91
QB,24,2,25,9,437
QB,24,7,24,6,709
QB,24,5,11,4,149
QB,24,7,5,12,22
QB,24,2,1,12,55
QB,24,2,28,4,229
QB,24,8,22,4,276
QB,24,5,18,7,23
QB,24,3,1,14,19
QB,24,3,20,4,204
QB,24,1,8,1,48
QB,24,4,9,7,47
QB,24,4,23,1,57
QB,24,1,24,11,42
QB,24,4,22,4,42
QB,24,2,29,11,20
QB,24,2,11,2,39604
QB,24,6,2,3,3021
QB,24,1,23,6,732
QB,24,5,10,9,1318
QB,24,5,18,9,677
QB,24,3,29,9,1150
QB,24,5,28,6,596
QB,24,2,17,12,14
QB,24,7,4,2,27834
QB,24,8,3,3,4290
QB,24,2,23,5,3127
QB,24,6,20,3,6102
QB,24,6,2,5,906
QB,24,5,22,6,690
QB,24,8,25,9,499
QB,24,3,15,9,1290
QB,24,8,7,5,3576
QB,24,1,12,12,34
QB,24,1,10,1,62
QB,24,4,4,11,22
QB,24,7,10,6,32
QB,24,8,1,10,12
QB,24,7,12,10,13
QB,24,3,14,2,27280
QB,24,1,10,3,6618
QB,24,8,6,9,1647
QB,25,2,20,2,11296
