direction,year,month,day,class,class_count
SIB,20,11,17,4,258
SIB,20,7,15,12,57
SIB,20,9,30,13,44
SIB,20,5,25,2,42435
SIB,20,7,21,2,41835
SIB,20,3,6,9,1000
SIB,20,12,23,2,39948
SIB,20,6,10,1,603
SIB,20,7,29,5,1722
SIB,20,4,16,1,363
SIB,20,7,28,5,1750
SIB,20,1,27,6,1002
SIB,20,8,4,9,836
SIB,20,1,16,1,846
SIB,20,11,26,9,79
SIB,20,11,14,11,34
SIB,20,9,20,7,49
SIB,20,11,24,4,269
SIB,20,11,27,8,304
SIB,20,11,4,10,98
SIB,20,3,20,2,38806
SIB,20,6,30,3,8603
SIB,20,12,16,2,29159
SIB,20,1,26,3,3341
SIB,20,5,1,3,5785
SIB,20,3,2,9,1040
SIB,20,2,22,5,859
SIB,20,11,8,7,103
SIB,20,7,10,13,178
SIB,20,3,4,4,390
SIB,20,9,16,6,1187
SIB,20,12,19,6,79
SIB,20,11,29,6,135
SIB,20,2,8,10,26
SIB,20,5,16,4,59
SIB,20,11,11,7,97
SIB,20,10,16,11,36
SIB,20,10,11,6,83
SIB,20,11,25,11,60
SIB,20,8,12,2,46331
SIB,20,4,11,2,23301
SIB,20,4,29,6,793
SIB,20,3,23,3,4286
SIB,20,3,14,6,379
SIB,20,9,12,9,577
SIB,20,2,4,1,703
SIB,20,9,20,3,3325
SIB,20,6,14,8,154
SIB,20,5,13,10,76
SIB,20,1,29,10,191
SIB,20,7,9,5,1200
SIB,20,12,30,9,131
SIB,20,9,27,1,187
SIB,20,10,4,6,147
SIB,20,4,25,12,39
SIB,20,5,13,4,173
SIB,20,2,3,11,41
SIB,20,10,17,13,24
SIB,20,4,15,1,73
SIB,20,2,2,1,149
SIB,20,2,13,12,18
SIB,20,10,30,1,239
SIB,20,7,7,2,42044
SIB,20,12,1,2,40686
SIB,20,1,16,2,46357
SIB,20,12,3,2,45835
SIB,20,11,19,9,1328
SIB,20,2,23,3,3731
SIB,20,11,10,9,1123
SIB,20,7,16,6,1415
SIB,20,10,27,9,704
SIB,20,11,19,8,552
SIB,20,4,22,10,257
SIB,20,12,21,9,120
SIB,20,7,5,11,15
SIB,20,10,3,2,51266
SIB,20,8,21,2,48932
SIB,20,2,29,2,60426
SIB,20,6,24,8,535
SIB,20,6,3,9,965
SIB,20,6,29,1,1185
SIB,20,7,14,3,7314
SIB,20,1,8,8,578
SIB,20,12,20,1,80
SIB,20,1,30,5,2120
SIB,20,12,15,9,620
SIB,20,1,29,11,63
SIB,20,9,29,4,138
SIB,20,11,21,9,642
SIB,20,9,4,1,713
SIB,20,10,21,1,978
SIB,20,9,17,7,61
SIB,20,8,27,5,1512
SIB,20,7,11,10,62
SIB,20,3,9,9,1128
SIB,20,3,6,4,429
SIB,20,6,1,7,238
SIB,20,2,26,7,211
SIB,20,1,28,7,186
SIB,20,12,20,5,128
SIB,20,10,3,11,30
SIB,20,9,10,11,82
SIB,20,4,27,7,68
SIB,20,6,22,3,7860
SIB,20,9,5,2,56510
SIB,20,5,18,2,42150
SIB,20,12,20,3,1589
SIB,20,3,25,5,1433
SIB,20,3,25,8,456
SIB,20,1,24,7,349
SIB,20,6,22,8,408
SIB,20,11,10,4,216
SIB,20,5,5,7,189
SIB,20,6,18,11,69
SIB,20,10,25,5,372
SIB,20,1,23,7,215
SIB,20,10,6,1,791
SIB,20,12,5,8,119
SIB,20,7,12,7,92
SIB,20,12,29,2,28894
SIB,20,12,31,2,29253
SIB,20,9,11,9,1114
SIB,20,11,24,1,1225
SIB,20,11,24,3,7599
SIB,20,1,4,9,585
SIB,20,8,14,3,8712
SIB,20,1,13,3,8563
SIB,20,12,15,1,1557
SIB,20,1,12,3,3909
SIB,20,2,5,9,1228
SIB,20,7,7,7,285
SIB,20,9,23,7,366
SIB,20,4,14,5,1195
SIB,20,8,27,8,460
SIB,20,10,26,9,64
SIB,20,4,17,5,1260
SIB,20,2,1,11,23
SIB,20,11,30,6,358
SIB,20,8,3,11,56
SIB,20,6,21,6,104
SIB,20,3,30,10,43
SIB,20,8,31,11,50
SIB,20,5,27,2,42881
SIB,20,1,20,8,363
SIB,20,12,3,6,1127
SIB,20,11,10,8,534
SIB,20,3,16,5,1829
SIB,20,10,9,5,1889
SIB,20,7,31,11,72
SIB,20,9,28,7,156
SIB,20,12,19,5,212
SIB,20,10,21,7,208
SIB,20,7,18,11,42
SIB,20,2,26,12,18
SIB,20,4,16,10,111
SIB,20,4,3,1,49
SIB,20,10,7,2,43205
SIB,20,4,18,2,24706
SIB,20,1,20,9,844
SIB,20,9,25,1,974
SIB,20,3,7,5,912
SIB,20,11,5,5,1919
SIB,20,1,2,6,892
SIB,20,9,5,3,4952
SIB,20,10,24,4,223
SIB,20,7,9,13,55
SIB,20,3,22,3,1867
SIB,20,4,6,3,4462
SIB,20,11,6,5,2014
SIB,20,4,3,5,1243
SIB,20,3,19,8,510
SIB,20,5,18,5,1573
SIB,20,2,9,4,338
SIB,20,1,8,7,278
SIB,20,4,16,4,147
SIB,20,7,4,13,15
SIB,20,11,1,7,9
SIB,20,2,4,13,13
SIB,20,6,8,13,38
SIB,20,4,18,4,47
SIB,20,10,16,2,33473
SIB,20,1,29,2,44607
SIB,20,3,25,3,5127
SIB,20,9,12,2,56923
SIB,20,6,16,6,1078
SIB,20,4,4,3,2155
SIB,20,8,21,3,8465
SIB,20,7,1,2,36474
SIB,20,3,28,1,20
SIB,20,7,27,6,1228
SIB,20,2,18,7,261
SIB,20,1,21,1,679
SIB,20,10,15,8,560
SIB,20,3,22,5,364
SIB,20,6,24,4,175
SIB,20,8,28,6,894
SIB,20,7,25,9,462
SIB,20,10,30,8,107
SIB,20,6,16,4,207
SIB,20,11,4,7,218
SIB,20,3,5,8,521
SIB,20,10,14,7,156
SIB,20,4,25,8,164
SIB,20,7,23,10,242
SIB,20,7,19,7,106
SIB,20,11,27,11,24
SIB,20,3,4,10,110
SIB,20,9,16,11,61
SIB,20,5,21,11,55
SIB,20,1,13,2,44207
SIB,20,11,18,1,843
SIB,20,7,22,1,2084
SIB,20,5,22,3,6763
SIB,20,6,25,6,1199
SIB,20,12,16,1,248
SIB,20,11,27,1,329
SIB,20,7,17,5,1434
SIB,20,2,3,6,1058
SIB,20,4,16,7,133
SIB,20,5,28,8,478
SIB,20,8,30,5,510
SIB,20,3,19,10,73
SIB,20,12,2,1,111
SIB,20,4,1,7,56
SIB,20,4,21,11,55
SIB,20,9,26,7,94
SIB,20,5,30,6,174
SIB,20,4,22,13,89
SIB,20,8,7,3,7888
SIB,20,6,22,2,43511
SIB,20,6,5,2,41483
SIB,20,1,25,7,61
SIB,20,9,22,8,511
SIB,20,3,18,3,7881
SIB,20,4,15,2,27981
SIB,20,9,7,3,4527
SIB,20,10,20,9,393
SIB,20,4,30,4,140
SIB,20,9,20,5,375
SIB,20,10,3,7,119
SIB,20,4,22,6,381
SIB,20,3,17,10,104
SIB,20,2,6,8,462
SIB,20,7,16,11,75
SIB,20,5,31,6,126
SIB,20,4,23,4,132
SIB,20,7,31,12,32
SIB,20,8,24,4,205
SIB,20,4,17,10,40
SIB,20,3,19,2,39181
SIB,20,6,13,2,48277
SIB,20,7,21,4,336
SIB,20,6,2,5,1774
SIB,20,5,6,9,972
SIB,20,2,14,7,348
SIB,20,11,3,5,1959
SIB,20,12,25,3,720
SIB,20,9,23,9,1088
SIB,20,10,13,4,157
SIB,20,9,9,10,135
