direction,year,month,day,class,class_count,year_month_day,pre_post_bool,month_day
QB,21,5,11,8,463,210511,0,511
QB,21,5,11,7,61,210511,0,511
QB,21,5,11,1,107,210511,0,511
QB,21,5,11,12,1,210511,0,511
QB,21,5,11,2,40370,210511,0,511
QB,21,5,11,11,58,210511,0,511
QB,21,5,11,9,1728,210511,0,511
QB,21,5,11,4,269,210511,0,511
QB,21,5,12,11,57,210512,0,512
QB,21,5,12,1,62,210512,0,512
QB,21,5,12,5,2208,210512,0,512
QB,21,5,12,7,112,210512,0,512
QB,21,5,12,8,462,210512,0,512
QB,21,5,12,2,45468,210512,0,512
QB,21,5,12,10,106,210512,0,512
QB,21,5,12,4,178,210512,0,512
QB,21,5,12,9,1781,210512,0,512
QB,21,5,12,12,4,210512,0,512
QB,21,5,12,3,7943,210512,0,512
QB,21,5,12,13,10,210512,0,512
QB,21,5,12,6,876,210512,0,512
QB,21,5,13,3,7567,210513,0,513
QB,21,5,13,10,84,210513,0,513
QB,21,5,13,1,78,210513,0,513
QB,21,5,13,12,2,210513,0,513
QB,21,5,13,4,221,210513,0,513
QB,21,5,13,5,2134,210513,0,513
QB,21,5,13,11,67,210513,0,513
QB,21,5,13,7,92,210513,0,513
QB,21,5,13,9,1807,210513,0,513
QB,21,5,13,13,6,210513,0,513
QB,21,5,13,2,43841,210513,0,513
QB,21,5,13,6,870,210513,0,513
QB,21,5,13,8,511,210513,0,513
QB,21,5,14,1,97,210514,0,514
QB,21,5,14,12,2,210514,0,514
QB,21,5,14,9,1603,210514,0,514
QB,21,5,14,11,58,210514,0,514
QB,21,5,14,2,47934,210514,0,514
QB,21,5,14,8,454,210514,0,514
QB,21,5,14,4,211,210514,0,514
QB,21,5,14,10,98,210514,0,514
QB,21,5,14,3,7663,210514,0,514
QB,21,5,14,7,72,210514,0,514
QB,21,5,14,5,2063,210514,0,514
QB,21,5,14,13,9,210514,0,514
QB,21,5,14,6,824,210514,0,514
QB,21,5,15,9,789,210515,0,515
QB,21,5,15,2,52130,210515,0,515
QB,21,5,15,4,118,210515,0,515
QB,21,5,15,13,6,210515,0,515
QB,21,5,15,12,1,210515,0,515
QB,21,5,15,7,12,210515,0,515
QB,21,5,15,5,1055,210515,0,515
QB,21,5,15,10,24,210515,0,515
QB,21,5,15,6,318,210515,0,515
QB,21,5,15,8,262,210515,0,515
QB,21,5,15,3,4969,210515,0,515
QB,21,5,15,11,32,210515,0,515
QB,21,5,15,1,66,210515,0,515
QB,21,5,16,12,2,210516,0,516
QB,21,5,16,3,3823,210516,0,516
QB,21,5,16,8,177,210516,0,516
QB,21,5,16,6,105,210516,0,516
QB,21,5,16,9,456,210516,0,516
QB,21,5,16,4,129,210516,0,516
QB,21,5,16,7,3,210516,0,516
QB,21,5,16,11,20,210516,0,516
QB,21,5,16,2,49677,210516,0,516
QB,21,5,16,5,603,210516,0,516
QB,21,5,16,10,5,210516,0,516
QB,21,5,16,13,1,210516,0,516
QB,21,5,16,1,37,210516,0,516
QB,21,5,17,8,409,210517,0,517
QB,21,5,17,2,43038,210517,0,517
QB,21,5,17,9,1597,210517,0,517
QB,21,5,17,3,7336,210517,0,517
QB,21,5,17,12,4,210517,0,517
QB,21,5,17,4,154,210517,0,517
QB,21,5,17,7,69,210517,0,517
QB,21,5,17,10,89,210517,0,517
QB,21,5,17,5,1872,210517,0,517
QB,21,5,17,11,29,210517,0,517
QB,21,5,17,6,702,210517,0,517
QB,21,5,17,13,8,210517,0,517
QB,21,5,17,1,74,210517,0,517
QB,21,5,18,7,55,210518,0,518
QB,21,5,18,1,72,210518,0,518
QB,21,5,18,2,43358,210518,0,518
QB,21,5,18,9,1676,210518,0,518
QB,21,5,18,11,55,210518,0,518
QB,21,5,18,4,171,210518,0,518
QB,21,5,18,13,8,210518,0,518
QB,21,5,18,6,829,210518,0,518
QB,21,5,18,3,7656,210518,0,518
QB,21,5,18,10,82,210518,0,518
QB,21,5,18,8,493,210518,0,518
QB,21,5,18,5,1955,210518,0,518
QB,21,5,18,12,3,210518,0,518
QB,21,5,19,1,97,210519,0,519
QB,21,5,19,11,62,210519,0,519
QB,21,5,19,4,236,210519,0,519
QB,21,5,19,13,10,210519,0,519
QB,21,5,19,5,2153,210519,0,519
QB,21,5,19,2,45846,210519,0,519
QB,21,5,19,7,73,210519,0,519
QB,21,5,19,12,1,210519,0,519
QB,21,5,19,3,8134,210519,0,519
QB,21,5,19,10,77,210519,0,519
