direction,year,month,day,class,class_count,year_month_date_type_int,year_month_date,week_day
QB,19,11,1,11,61,191101,2019-11-01,444
QB,19,11,1,10,144,191101,2019-11-01,444
QB,19,11,1,7,117,191101,2019-11-01,444
QB,19,11,1,3,7966,191101,2019-11-01,444
QB,19,11,1,5,2060,191101,2019-11-01,444
QB,19,11,1,4,465,191101,2019-11-01,444
QB,19,11,2,3,5377,191102,2019-11-02,445
QB,19,11,2,9,671,191102,2019-11-02,445
QB,19,11,2,5,1061,191102,2019-11-02,445
QB,19,11,2,1,81,191102,2019-11-02,445
QB,19,11,2,11,38,191102,2019-11-02,445
QB,19,11,2,4,413,191102,2019-11-02,445
QB,19,11,2,8,190,191102,2019-11-02,445
QB,19,11,2,2,49981,191102,2019-11-02,445
QB,19,11,2,12,1,191102,2019-11-02,445
QB,19,11,2,7,31,191102,2019-11-02,445
QB,19,11,2,13,5,191102,2019-11-02,445
QB,19,11,2,6,372,191102,2019-11-02,445
QB,19,11,2,10,62,191102,2019-11-02,445
QB,19,11,3,5,615,191103,2019-11-03,446
QB,19,11,3,4,378,191103,2019-11-03,446
QB,19,11,3,1,43,191103,2019-11-03,446
QB,19,11,3,8,136,191103,2019-11-03,446
QB,19,11,3,7,5,191103,2019-11-03,446
QB,19,11,3,3,3232,191103,2019-11-03,446
QB,19,11,3,13,2,191103,2019-11-03,446
QB,19,11,3,2,42741,191103,2019-11-03,446
QB,19,11,3,9,369,191103,2019-11-03,446
QB,19,11,3,6,106,191103,2019-11-03,446
QB,19,11,3,11,24,191103,2019-11-03,446
QB,19,11,4,3,7926,191104,2019-11-04,450
QB,19,11,4,4,460,191104,2019-11-04,450
QB,19,11,4,6,928,191104,2019-11-04,450
QB,19,11,4,5,2038,191104,2019-11-04,450
QB,19,11,4,12,1,191104,2019-11-04,450
QB,19,11,4,13,8,191104,2019-11-04,450
QB,19,11,4,8,424,191104,2019-11-04,450
QB,19,11,4,10,132,191104,2019-11-04,450
QB,19,11,4,11,41,191104,2019-11-04,450
QB,19,11,4,9,1928,191104,2019-11-04,450
QB,19,11,4,1,119,191104,2019-11-04,450
QB,19,11,4,2,42840,191104,2019-11-04,450
QB,19,11,4,7,90,191104,2019-11-04,450
QB,19,11,5,11,63,191105,2019-11-05,451
QB,19,11,5,13,7,191105,2019-11-05,451
QB,19,11,5,9,1794,191105,2019-11-05,451
QB,19,11,5,8,490,191105,2019-11-05,451
QB,19,11,5,4,391,191105,2019-11-05,451
QB,19,11,5,12,2,191105,2019-11-05,451
QB,19,11,5,7,123,191105,2019-11-05,451
QB,19,11,5,5,2108,191105,2019-11-05,451
QB,19,11,5,10,91,191105,2019-11-05,451
QB,19,11,5,3,8300,191105,2019-11-05,451
QB,19,11,5,1,91,191105,2019-11-05,451
QB,19,11,5,2,44360,191105,2019-11-05,451
QB,19,11,5,6,1012,191105,2019-11-05,451
QB,19,11,6,5,2102,191106,2019-11-06,452
QB,19,11,6,7,138,191106,2019-11-06,452
QB,19,11,6,1,153,191106,2019-11-06,452
QB,19,11,6,8,513,191106,2019-11-06,452
QB,19,11,6,3,7818,191106,2019-11-06,452
QB,19,11,6,11,69,191106,2019-11-06,452
QB,19,11,6,13,10,191106,2019-11-06,452
QB,19,11,6,9,1988,191106,2019-11-06,452
QB,19,11,6,10,88,191106,2019-11-06,452
